rd_nm,addr,crsswlk_type,crsswlk_wdth,crsswlk_lngth,lon,lat
오산로,경기도 오산시 갈곶동 711,1,4.0,7.0,127.0672024,37.13511283
오산로,경기도 오산시 갈곶동 711,1,4.0,6.0,127.0672024,37.1351166
오산로,경기도 오산시 갈곶동 711,1,4.0,26.0,127.0672024,37.13511283
경기대로,경기도 오산시 갈곶동 718,1,6.0,11.0,127.0719597,37.12932929
경기대로,경기도 오산시 갈곶동 718,1,6.0,11.0,127.0719597,37.12932929
경기대로,경기도 오산시 갈곶동 718,1,6.0,11.0,127.0719597,37.12932929
경기대로,경기도 오산시 갈곶동 718,1,2.0,6.0,127.0719597,37.12932929
남부대로,경기도 오산시 고현동 109,4,4.0,25.0,127.0853656,37.132717
남부대로,경기도 오산시 고현동 111,1,4.0,17.0,127.0866164,37.13185801
남부대로,경기도 오산시 고현동 133,1,4.0,16.0,127.0874913,37.13155676
남부대로,경기도 오산시 고현동 137,1,2.0,9.0,127.0874001,37.131517
남부대로,경기도 오산시 고현동 17-3,4,4.0,7.0,127.0807971,37.13587151
남부대로,경기도 오산시 고현동 174-5,1,4.0,17.0,127.0888877,37.13042717
남부대로,경기도 오산시 고현동 191-1,1,4.0,17.0,127.091517,37.129796
남부대로,경기도 오산시 고현동 21-3,4,5.0,18.0,127.0816482,37.1355702
말머리로,경기도 오산시 고현동 21-3,4,4.0,12.0,127.0816482,37.1355702
말머리로,경기도 오산시 고현동 21-3,4,4.0,14.0,127.0816482,37.1355702
남부대로,경기도 오산시 고현동 21-8,4,4.0,7.0,127.0811377,37.13586984
남부대로,경기도 오산시 고현동 23-12,4,4.0,5.0,127.0815307,37.135932
남부대로,경기도 오산시 고현동 24,4,4.0,20.0,127.0813693,37.1360207
동부대로,경기도 오산시 고현동 269,1,6.0,11.0,127.0802098,37.13216601
동부대로,경기도 오산시 고현동 269,1,6.0,11.0,127.0802098,37.13216601
남부대로,경기도 오산시 고현동 275,1,4.0,8.0,127.0819683,37.13434198
남부대로,경기도 오산시 고현동 275,1,4.0,20.0,127.0819683,37.13434198
남부대로,경기도 오산시 고현동 275,4,4.0,20.0,127.0819683,37.13434198
남부대로,경기도 오산시 고현동 275,4,4.0,6.0,127.0819683,37.13434198
남부대로,경기도 오산시 고현동 275,4,4.0,6.0,127.0819683,37.13434198
남부대로,경기도 오산시 고현동 37,1,2.0,5.0,127.0824574,37.13501053
남부대로,경기도 오산시 고현동 54,4,4.0,17.0,127.0834219,37.13387583
남부대로,경기도 오산시 고현동 54,4,4.0,17.0,127.0834219,37.13387583
남부대로,경기도 오산시 고현동 56,1,2.0,17.0,127.084029,37.13363302
남부대로,경기도 오산시 고현동 57-5,1,2.0,6.0,127.083962,37.133815
남부대로,경기도 오산시 고현동 58-1,1,2.0,4.0,127.0845325,37.13376272
동부대로,경기도 오산시 고현동 6-10,1,4.0,28.0,127.078291,37.13343424
동부대로,경기도 오산시 고현동 6-7,1,4.0,9.0,127.0785297,37.13307806
남부대로,경기도 오산시 고현동 91-4,1,4.0,13.0,127.0852298,37.1326751
청학로,경기도 오산시 궐동 103-6,1,6.0,17.0,127.0645524,37.15849828
오산로,경기도 오산시 궐동 13-2,1,6.0,6.0,127.0662366,37.16003273
오산로,경기도 오산시 궐동 13-2,1,3.0,14.0,127.0662366,37.1600164
오산로,경기도 오산시 궐동 13-2,1,4.0,11.0,127.0662366,37.16003273
은여울로,경기도 오산시 궐동 19-29,1,4.0,6.0,127.0682984,37.1612384
오산로,경기도 오산시 궐동 39-2,1,4.0,6.0,127.066509,37.15932496
오산로,경기도 오산시 궐동 43-2,1,4.0,6.0,127.0668072,37.158581
오산로,경기도 오산시 궐동 44-2,1,4.0,6.0,127.0669684,37.15815515
발안로,경기도 오산시 가수동 115-2,1,5.0,7.0,127.0514206,37.146229
가수로,경기도 오산시 가수동 13-4,1,4.0,16.0,127.049144,37.146684
가수로,경기도 오산시 가수동 13-4,1,4.0,13.0,127.0491785,37.14661136
가수로,경기도 오산시 가수동 13-4,1,4.0,16.0,127.049155,37.14661136
발안로,경기도 오산시 가수동 139-2,1,4.0,7.0,127.052512,37.146235
가수로,경기도 오산시 가수동 15-1,1,5.0,15.0,127.0491137,37.147321
초평중앙로,경기도 오산시 가수동 183,1,4.0,22.0,127.0545743,37.1445121
초평중앙로,경기도 오산시 가수동 184,1,6.0,22.0,127.0551856,37.14416786
가수행복로,경기도 오산시 가수동 186,1,4.0,19.0,127.055481,37.144586
가수행복로,경기도 오산시 가수동 198-1,1,4.0,20.0,127.0575077,37.1454085
가수행복로,경기도 오산시 가수동 200-1,1,4.0,20.0,127.0566384,37.14505191
수목원로,경기도 오산시 가수동 207-4,1,7.0,30.0,127.0549634,37.14518036
감투로,경기도 오산시 가수동 216-1,1,6.0,20.0,127.0562579,37.1470409
수목원로,경기도 오산시 가수동 220-1,1,7.0,30.0,127.054875,37.14667256
삼국마을로,경기도 오산시 가수동 220-1,1,6.0,22.0,127.054875,37.14667256
수목원로,경기도 오산시 가수동 222,1,6.0,30.0,127.0546236,37.14738078
감투로,경기도 오산시 가수동 225,1,6.0,20.0,127.055203,37.14711946
감투로,경기도 오산시 가수동 235-7,1,6.0,20.0,127.0571414,37.14741765
가수행복로,경기도 오산시 가수동 241,1,2.0,4.0,127.0582879,37.1460216
가수행복로,경기도 오산시 가수동 242,1,4.0,20.0,127.0580714,37.14572571
가수행복로,경기도 오산시 가수동 261,1,6.0,11.0,127.0604847,37.14703851
가수행복로,경기도 오산시 가수동 261,1,6.0,9.0,127.0604847,37.14703851
가수행복로,경기도 오산시 가수동 266,1,2.0,6.0,127.0600381,37.14752786
가수행복로,경기도 오산시 가수동 266,1,6.0,9.0,127.0600381,37.1475203
가수행복로,경기도 오산시 가수동 274-5,1,6.0,9.0,127.0594215,37.1482151
가장로,경기도 오산시 가수동 289-12,1,6.0,32.0,127.0609877,37.149995
청학로,경기도 오산시 가수동 294-4,1,6.0,16.0,127.061633,37.1502604
황새로,경기도 오산시 가수동 300-14,1,2.0,11.0,127.061549,37.149158
황새로,경기도 오산시 가수동 300-14,1,5.0,11.0,127.0615169,37.14912212
가수로,경기도 오산시 가수동 30-1,1,4.0,22.0,127.0468127,37.1474401
성호대로,경기도 오산시 가수동 303-3,1,8.0,20.0,127.0621364,37.14959033
성호대로,경기도 오산시 가수동 303-9,1,3.0,5.0,127.0622123,37.14968715
가수로,경기도 오산시 가수동 30-4,1,2.0,5.0,127.0468142,37.14737036
황새로,경기도 오산시 가수동 332-5,1,2.0,11.0,127.0617658,37.1466096
황새로,경기도 오산시 가수동 372-1,1,2.0,4.0,127.0617374,37.14358238
감투로,경기도 오산시 가수동 389-4,1,6.0,22.0,127.061913,37.14772281
감투로,경기도 오산시 가수동 389-4,1,6.0,22.0,127.061913,37.14772281
감투로,경기도 오산시 가수동 389-4,1,4.0,22.0,127.061913,37.14772281
발안로,경기도 오산시 가수동 389-4,1,6.0,20.0,127.061913,37.14772281
수목원로,경기도 오산시 가수동 391-31,1,6.0,30.0,127.0550004,37.14464351
가수로,경기도 오산시 가수동 398,1,2.0,5.0,127.0472681,37.14722267
가수로,경기도 오산시 가수동 398,1,2.0,5.0,127.0472681,37.14722267
가수로,경기도 오산시 가수동 398,1,2.0,6.0,127.0472681,37.14722267
가수로,경기도 오산시 가수동 398,1,2.0,6.0,127.0472681,37.14722267
가수로,경기도 오산시 가수동 398,1,2.0,6.0,127.0472681,37.14722267
가수로,경기도 오산시 가수동 398,1,2.0,11.0,127.0472681,37.14722267
가수로,경기도 오산시 가수동 398,1,2.0,5.0,127.0472681,37.14722267
가수로,경기도 오산시 가수동 48-4,1,4.0,15.0,127.0492683,37.1456461
가장로,경기도 오산시 가장동 127-7,1,8.0,28.0,127.0321077,37.16175844
가장로,경기도 오산시 가장동 128-4,1,8.0,28.0,127.0311879,37.16172932
가장로,경기도 오산시 가장동 158,1,8.0,28.0,127.0350229,37.16103239
가장로,경기도 오산시 가장동 158,1,8.0,28.0,127.0350229,37.16103239
가장산업동로,경기도 오산시 가장동 16-19,1,4.0,8.0,127.0432807,37.16297435
가장로,경기도 오산시 가장동 162-1,1,2.0,8.0,127.0361864,37.16049994
가장산업동로,경기도 오산시 가장동 17-8,4,6.0,21.0,127.0418339,37.16274203
가장산업동로,경기도 오산시 가장동 17-8,4,6.0,3.0,127.0418366,37.16260236
가장산업동로,경기도 오산시 가장동 21-2,4,6.0,3.0,127.0412596,37.16261158
가장산업동로,경기도 오산시 가장동 22,4,6.0,21.0,127.041285,37.16274222
가장산업동로,경기도 오산시 가장동 22,4,6.0,40.0,127.0415664,37.16262498
가장로,경기도 오산시 가장동 245-1,1,6.0,34.0,127.0386683,37.15970473
가장로,경기도 오산시 가장동 245-7,4,3.0,6.0,127.0383562,37.15962753
서동로,경기도 오산시 가장동 249-5,4,3.0,16.0,127.0385391,37.1596016
가장로,경기도 오산시 가장동 260-10,4,7.0,35.0,127.0428823,37.15728606
가장로,경기도 오산시 가장동 260-3,4,7.0,32.0,127.0442581,37.15653261
가장산업동로,경기도 오산시 가장동 332-3,1,6.0,21.0,127.0429785,37.16269893
서부로,경기도 오산시 가장동 353-2,3,6.0,6.0,127.0419699,37.15808797
가장로,경기도 오산시 가장동 353-2,4,6.0,5.0,127.0419074,37.15808873
가장로,경기도 오산시 가장동 359-3,4,3.0,6.0,127.0440593,37.15654532
가장산업동로,경기도 오산시 가장동 379,1,6.0,20.0,127.0384294,37.16272826
가장산업동로,경기도 오산시 가장동 379,1,6.0,20.0,127.0384294,37.1627279
가장산업동로,경기도 오산시 가장동 379,1,6.0,11.0,127.0384294,37.1627703
가장산업동로,경기도 오산시 가장동 379,1,6.0,20.0,127.0384294,37.16273682
가장산업동로,경기도 오산시 가장동 379,1,6.0,20.0,127.0384929,37.1627364
가장산업동로,경기도 오산시 가장동 379,1,6.0,11.0,127.0384294,37.1627703
가장산업동로,경기도 오산시 가장동 379,1,6.0,20.0,127.0384294,37.16272278
가장산업동로,경기도 오산시 가장동 379,1,4.0,25.0,127.0384294,37.1627703
가장산업북로,경기도 오산시 가장동 379-1,1,8.0,23.0,127.0353715,37.16192783
가장산업북로,경기도 오산시 가장동 379-1,1,8.0,20.0,127.0353715,37.16192783
가장산업동로,경기도 오산시 가장동 379-2,1,4.0,12.0,127.037001,37.16172028
가장로,경기도 오산시 가장동 379-3,1,5.0,20.0,127.0386239,37.1611216
가장로,경기도 오산시 가장동 379-3,1,5.0,10.0,127.0386327,37.1611216
가장로,경기도 오산시 가장동 379-3,1,7.0,10.0,127.0386384,37.1611167
가장로,경기도 오산시 가장동 379-3,1,7.0,10.0,127.0386499,37.1611216
가장로,경기도 오산시 가장동 379-3,1,4.0,10.0,127.0386444,37.1611216
가장산업동로,경기도 오산시 가장동 379-4,1,4.0,10.0,127.0399063,37.16163027
가장산업동로,경기도 오산시 가장동 379-4,1,6.0,10.0,127.0399063,37.16162534
가장산업동로,경기도 오산시 가장동 379-5,1,5.0,8.0,127.0411502,37.16050832
가장산업동로,경기도 오산시 가장동 380-4,1,7.0,17.0,127.0353574,37.1627554
가장산업북로,경기도 오산시 가장동 383,1,7.0,11.0,127.0360516,37.1656466
가장산업북로,경기도 오산시 가장동 383,1,7.0,11.0,127.0360516,37.1656466
가장산업북로,경기도 오산시 가장동 383,1,3.0,9.0,127.0360516,37.1656466
가장산업북로,경기도 오산시 가장동 383,1,3.0,9.0,127.0360516,37.1656466
가장산업서북로,경기도 오산시 가장동 405,1,8.0,27.0,127.0319829,37.16510443
가장산업서북로,경기도 오산시 가장동 405,1,8.0,25.0,127.0319829,37.16510443
가장산업서북로,경기도 오산시 가장동 405,1,8.0,25.0,127.0319829,37.16510443
가장산업서북로,경기도 오산시 가장동 405,1,8.0,25.0,127.0319829,37.16510443
가장산업서북로,경기도 오산시 가장동 405,1,8.0,25.0,127.0319829,37.16510443
가장산업서북로,경기도 오산시 가장동 405,1,8.0,25.0,127.0319829,37.16510443
가장산업서북로,경기도 오산시 가장동 405,1,8.0,25.0,127.0319829,37.16510443
가장산업서북로,경기도 오산시 가장동 405,1,3.0,20.0,127.0319829,37.16510443
가장산업서북로,경기도 오산시 가장동 405,1,3.0,6.0,127.0319829,37.16517573
가장산업서로,경기도 오산시 가장동 405-1,1,6.0,15.0,127.0295387,37.16531178
가장산업서로,경기도 오산시 가장동 405-1,1,4.0,13.0,127.0295387,37.16531178
가장산업서로,경기도 오산시 가장동 405-1,1,4.0,13.0,127.0295387,37.16531178
가장산업서로,경기도 오산시 가장동 405-1,1,4.0,10.0,127.0295387,37.16531178
가장산업서로,경기도 오산시 가장동 405-1,1,4.0,10.0,127.029581,37.16531178
가장산업서북로,경기도 오산시 가장동 405-1,1,4.0,10.0,127.0295858,37.16531178
가장산업서북로,경기도 오산시 가장동 405-1,1,3.0,10.0,127.0295387,37.16531178
가장산업서북로,경기도 오산시 가장동 405-1,1,3.0,10.0,127.0295387,37.16531178
가장산업서북로,경기도 오산시 가장동 405-1,1,6.0,16.0,127.0295387,37.16531178
가장산업서북로,경기도 오산시 가장동 405-2,1,3.0,10.0,127.0309204,37.16553576
오산로,경기도 오산시 갈곶동 146,1,2.0,4.0,127.0677215,37.13175611
가장산업서북로,경기도 오산시 가장동 405-2,1,6.0,15.0,127.0309204,37.16553576
가장산업서로,경기도 오산시 가장동 405-3,1,4.0,11.0,127.0285182,37.16367465
가장산업서로,경기도 오산시 가장동 405-4,1,4.0,14.0,127.0345275,37.16529855
가장산업서로,경기도 오산시 가장동 405-4,1,4.0,10.0,127.0345275,37.16529855
가장산업서로,경기도 오산시 가장동 405-4,1,4.0,14.0,127.0345275,37.16529855
가장산업서북로,경기도 오산시 가장동 405-4,1,4.0,14.0,127.034517,37.16529855
가장산업서북로,경기도 오산시 가장동 405-4,1,4.0,10.0,127.0345275,37.16529855
가장산업서북로,경기도 오산시 가장동 405-4,1,4.0,10.0,127.0345275,37.16529855
가장산업서북로,경기도 오산시 가장동 405-4,1,4.0,10.0,127.0345769,37.16529855
가장산업서북로,경기도 오산시 가장동 405-4,1,4.0,20.0,127.0345275,37.16529855
가장산업서북로,경기도 오산시 가장동 405-5,1,5.0,11.0,127.0330054,37.16540766
가장산업서북로,경기도 오산시 가장동 405-5,1,3.0,18.0,127.0330054,37.16541696
가장산업서로,경기도 오산시 가장동 405-6,1,3.0,11.0,127.0350075,37.16523576
가장산업서로,경기도 오산시 가장동 406,1,8.0,21.0,127.0334631,37.16293087
가장산업서로,경기도 오산시 가장동 406,1,4.0,16.0,127.0334631,37.16293087
가장산업서로,경기도 오산시 가장동 406,1,4.0,12.0,127.0334999,37.16293087
가장산업서로,경기도 오산시 가장동 406,1,8.0,19.0,127.0334631,37.16293087
가장산업서로,경기도 오산시 가장동 406,1,8.0,19.0,127.0334631,37.16293087
서부로,경기도 오산시 가장동 산 5-6,3,6.0,6.0,127.0425869,37.15813065
오산로,경기도 오산시 갈곶동 110-5,1,4.0,7.0,127.0678729,37.13364557
오산로,경기도 오산시 갈곶동 126-1,1,6.0,17.0,127.0689884,37.13356891
오산로,경기도 오산시 갈곶동 126-19,1,4.0,18.0,127.0690127,37.13283098
오산로,경기도 오산시 갈곶동 126-19,1,6.0,14.0,127.0690672,37.13283098
오산로,경기도 오산시 갈곶동 132-11,1,4.0,6.0,127.0679139,37.13218167
오산로,경기도 오산시 갈곶동 137,1,4.0,9.0,127.0672829,37.13111505
오산로,경기도 오산시 갈곶동 143,1,6.0,17.0,127.0686758,37.13112459
오산로,경기도 오산시 갈곶동 146,1,2.0,4.0,127.0677346,37.1317832
오산로,경기도 오산시 갈곶동 146,1,6.0,14.0,127.0677215,37.13175611
오산로,경기도 오산시 갈곶동 148,1,6.0,17.0,127.0684039,37.13155526
오산로,경기도 오산시 갈곶동 150-1,1,2.0,20.0,127.0695665,37.13191961
오산로,경기도 오산시 갈곶동 159-30,1,4.0,6.0,127.0692946,37.13150831
오산로,경기도 오산시 갈곶동 162-11,1,4.0,6.0,127.069018,37.13122703
오산로,경기도 오산시 갈곶동 162-14,1,4.0,9.0,127.0684206,37.1313052
오산로,경기도 오산시 갈곶동 173-7,1,6.0,8.0,127.0677581,37.13076261
오산로,경기도 오산시 갈곶동 174-1,4,6.0,13.0,127.0676769,37.1302289
오산로,경기도 오산시 갈곶동 174-1,1,6.0,15.0,127.0676609,37.13023947
오산로,경기도 오산시 갈곶동 175-6,4,4.0,4.0,127.0677979,37.13011956
오산로,경기도 오산시 갈곶동 178-4,1,6.0,12.0,127.0674823,37.12958818
오산로,경기도 오산시 갈곶동 184-2,1,4.0,7.0,127.0671633,37.12851191
오산로,경기도 오산시 갈곶동 186-2,1,4.0,7.0,127.0669742,37.12766849
오산로,경기도 오산시 갈곶동 208,1,2.0,11.0,127.0683101,37.12938673
오산로,경기도 오산시 갈곶동 208,1,2.0,11.0,127.0683151,37.12938673
오산로,경기도 오산시 갈곶동 208-1,4,4.0,6.0,127.067943,37.12995841
경기대로,경기도 오산시 갈곶동 224-7,1,4.0,6.0,127.0708192,37.1298733
경기대로,경기도 오산시 갈곶동 224-7,1,2.0,13.0,127.0708331,37.12981414
경기대로,경기도 오산시 갈곶동 225-1,4,8.0,6.0,127.0703373,37.12888629
경기대로,경기도 오산시 갈곶동 225-1,4,4.0,6.0,127.0703373,37.12888629
경기대로,경기도 오산시 갈곶동 225-1,4,8.0,19.0,127.0703373,37.12888629
오산천로,경기도 오산시 갈곶동 22-8,1,2.0,36.0,127.0617965,37.1347171
경기대로,경기도 오산시 갈곶동 232-2,4,4.0,6.0,127.0687753,37.12843455
경기대로,경기도 오산시 갈곶동 232-2,4,4.0,6.0,127.0687753,37.1284323
경기대로,경기도 오산시 갈곶동 233,4,9.0,21.0,127.0676275,37.12755928
경기대로,경기도 오산시 갈곶동 236-7,1,2.0,4.0,127.0717724,37.12581507
경기대로,경기도 오산시 갈곶동 236-7,1,2.0,4.0,127.0717128,37.12581507
오산로,경기도 오산시 갈곶동 269-6,1,4.0,6.0,127.070629,37.1310713
오산로,경기도 오산시 갈곶동 271-5,1,2.0,4.0,127.0712341,37.1313531
경기대로,경기도 오산시 갈곶동 276,1,4.0,14.0,127.0732557,37.1313547
동부대로,경기도 오산시 갈곶동 302-22,1,4.0,13.0,127.0767239,37.1275519
동부대로,경기도 오산시 갈곶동 302-28,1,6.0,13.0,127.0773243,37.1275401
동부대로,경기도 오산시 갈곶동 332-3,1,8.0,30.0,127.0782457,37.13231194
동부대로,경기도 오산시 갈곶동 352-3,1,6.0,15.0,127.0791351,37.1293815
동부대로,경기도 오산시 갈곶동 363,1,7.0,19.0,127.0793528,37.12741671
동부대로,경기도 오산시 갈곶동 363,1,4.0,13.0,127.0793203,37.12741671
엘지로,경기도 오산시 갈곶동 384-3,1,4.0,18.0,127.0796352,37.126004
청호로,경기도 오산시 갈곶동 706-1,1,8.0,13.0,127.0795086,37.1275837
동부대로,경기도 오산시 갈곶동 709,1,6.0,12.0,127.0788409,37.1316188
동부대로,경기도 오산시 갈곶동 709,1,3.0,8.0,127.0788409,37.1316431
경기대로,경기도 오산시 내삼미동 569-7,1,2.0,8.0,127.0533296,37.1800084
경기대로,경기도 오산시 내삼미동 570-13,1,4.0,5.0,127.0534567,37.1804994
경기대로,경기도 오산시 내삼미동 570-13,1,4.0,5.0,127.0530514,37.1807064
경기대로,경기도 오산시 내삼미동 573-28,1,4.0,3.0,127.0514792,37.18138938
경기대로,경기도 오산시 내삼미동 573-28,1,4.0,8.0,127.0514792,37.18138938
경기대로,경기도 오산시 내삼미동 576-16,1,4.0,3.0,127.0514611,37.1812819
경기대로,경기도 오산시 내삼미동 578-2,1,4.0,13.0,127.0503497,37.1822263
경기대로,경기도 오산시 내삼미동 578-2,1,2.0,12.0,127.0467504,37.1827559
경기대로,경기도 오산시 내삼미동 710-22,1,3.0,15.0,127.0576583,37.17801832
경기대로,경기도 오산시 내삼미동 710-28,1,2.0,11.0,127.0494381,37.1830894
수청로,경기도 오산시 내삼미동 872,1,5.0,7.0,127.0584727,37.17460167
수청로,경기도 오산시 내삼미동 875,1,6.0,15.0,127.0593269,37.17313048
수청로,경기도 오산시 내삼미동 875,1,6.0,16.0,127.0593269,37.17313048
수청로,경기도 오산시 내삼미동 876,1,6.0,11.0,127.0578375,37.17419517
수청로,경기도 오산시 내삼미동 876,1,6.0,12.0,127.0578375,37.17419517
수청로,경기도 오산시 내삼미동 876,1,6.0,12.0,127.0578375,37.17419517
수청로,경기도 오산시 내삼미동 876,1,4.0,9.0,127.0578375,37.17419517
수청로,경기도 오산시 내삼미동 876,1,4.0,9.0,127.0578375,37.17419517
수청로,경기도 오산시 내삼미동 876,1,6.0,13.0,127.0578375,37.17419517
수청로,경기도 오산시 내삼미동 876,1,6.0,15.0,127.0578375,37.17419517
수청로,경기도 오산시 내삼미동 877,1,4.0,6.0,127.0556402,37.17471809
문헌공로,경기도 오산시 내삼미동 890-1,1,3.0,8.0,127.0566105,37.17665045
수청로,경기도 오산시 내삼미동 891,1,4.0,10.0,127.0542826,37.17552108
수청로,경기도 오산시 내삼미동 891,1,6.0,12.0,127.0542826,37.17552108
수청로,경기도 오산시 내삼미동 891,1,6.0,12.0,127.0542826,37.17552108
수청로,경기도 오산시 내삼미동 891-1,1,4.0,7.0,127.0550772,37.17459286
수청로,경기도 오산시 내삼미동 891-5,1,4.0,7.0,127.0550802,37.17564137
수청로,경기도 오산시 내삼미동 891-6,1,5.0,6.0,127.054619,37.17576586
경기대로,경기도 오산시 내삼미동 901,1,8.0,28.0,127.062256,37.17372456
경기대로,경기도 오산시 내삼미동 901,1,8.0,28.0,127.062256,37.17372456
경기대로,경기도 오산시 내삼미동 901,1,8.0,27.0,127.062256,37.17372456
금암로,경기도 오산시 금암동 548-2,1,4.0,6.0,127.0487219,37.17172532
금암로,경기도 오산시 금암동 548-5,1,4.0,6.0,127.0496055,37.17191372
금암로,경기도 오산시 금암동 548-7,1,4.0,6.0,127.0488849,37.17137531
금암로,경기도 오산시 금암동 548-8,1,4.0,6.0,127.049205,37.17136181
오산대역로,경기도 오산시 금암동 549,1,8.0,21.0,127.0541282,37.1698763
오산대역로,경기도 오산시 금암동 산 73-1,1,4.0,4.0,127.0391392,37.1703139
북삼미로,경기도 오산시 내삼미동 251-2,1,6.0,13.0,127.0621461,37.18001605
북삼미로,경기도 오산시 내삼미동 251-2,1,5.0,14.0,127.0621461,37.18001605
북삼미로,경기도 오산시 내삼미동 251-2,1,4.0,14.0,127.0621461,37.18001605
북삼미로,경기도 오산시 내삼미동 331-5,1,8.0,20.0,127.0630318,37.18560693
북삼미로,경기도 오산시 내삼미동 331-5,1,4.0,8.0,127.0630318,37.18560693
경기대로,경기도 오산시 내삼미동 431-48,1,3.0,8.0,127.0578579,37.1780329
경기대로,경기도 오산시 내삼미동 462-14,1,3.0,22.0,127.0587048,37.1774085
경기대로,경기도 오산시 내삼미동 466-10,1,6.0,26.0,127.0570558,37.1782996
경기대로,경기도 오산시 내삼미동 466-10,1,3.0,8.0,127.0570995,37.1782996
문헌공로,경기도 오산시 내삼미동 466-27,1,6.0,24.0,127.0570668,37.1780648
경기대로,경기도 오산시 내삼미동 483-2,1,3.0,30.0,127.057607,37.17773386
경기대로,경기도 오산시 내삼미동 484-34,1,8.0,25.0,127.0559714,37.17890425
경기대로,경기도 오산시 내삼미동 484-34,1,3.0,9.0,127.0559714,37.17890425
경기대로,경기도 오산시 내삼미동 496-4,1,3.0,6.0,127.0565466,37.178822
경기대로,경기도 오산시 내삼미동 535-9,1,3.0,11.0,127.0556451,37.17971162
경기대로,경기도 오산시 내삼미동 535-9,1,4.0,22.0,127.0556451,37.17971162
경기대로,경기도 오산시 내삼미동 537-8,1,4.0,4.0,127.0551139,37.1792169
