,gid,cctv_yn,gbn,camera_yn,signal_count,rd_type,crosswalks_count,crsswlk_type,crsswlk_wdth,crsswlk_lngth,speed_bumps_count,fac_hght,fac_wdth,fac_lngth,fac_type,cctv_state,road_bt,child_zones_yn,acc_density
5,다사552086,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
18,다사554085,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
21,다사554088,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
46,다사557085,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
104,다사561083,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
114,다사561093,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
117,다사561096,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
135,다사562093,0,없음,0,0,없음,0,0,0.0,0.0,2,10.0,360.0,600.0,없음,없음,0.0,0,low
160,다사563097,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
183,다사564095,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
184,다사564096,0,없음,0,0,없음,0,0,0.0,0.0,8,10.0,360.0,600.0,없음,없음,0.0,0,high
218,다사565101,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
219,다사565102,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
228,다사566081,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
277,다사567100,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
321,다사569081,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
566,다사576089,0,없음,0,0,없음,0,0,0.0,0.0,1,10.0,360.0,400.0,없음,없음,0.0,0,low
585,다사576108,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
586,다사576109,1,없음,0,4,기타,0,0,0.0,0.0,3,10.0,360.0,600.0,없음,없음,0.0,0,low
587,다사576110,0,없음,0,0,없음,0,0,0.0,0.0,1,10.0,360.0,600.0,없음,없음,0.0,0,low
597,다사577083,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
624,다사577110,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
641,다사578088,0,없음,0,4,시도,0,0,0.0,0.0,1,10.0,360.0,600.0,없음,없음,0.0,0,low
703,다사579109,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,유치원,N,4.0,1,low
712,다사580070,0,없음,0,5,지방도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
720,다사580078,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
722,다사580080,1,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
732,다사580090,0,없음,0,0,없음,0,0,0.0,0.0,2,10.0,360.0,600.0,없음,없음,0.0,0,low
777,다사581081,1,없음,0,29,기타,11,1,4.909090909090909,12.545454545454543,0,0.0,0.0,0.0,없음,없음,0.0,0,low
779,다사581083,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
787,다사581091,0,없음,0,0,없음,1,1,3.0,5.0,1,10.0,360.0,600.0,없음,없음,0.0,0,low
804,다사581108,0,없음,0,9,기타,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
826,다사582070,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
863,다사582107,0,없음,0,0,없음,0,0,0.0,0.0,2,10.0,360.0,600.0,없음,없음,0.0,0,low
864,다사582108,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
865,다사582109,0,없음,0,29,기타,1,1,8.0,20.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
890,다사583070,0,없음,0,12,지방도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
918,다사583098,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
927,다사583107,0,없음,0,0,없음,0,0,0.0,0.0,1,10.0,360.0,600.0,없음,없음,0.0,0,low
963,다사584075,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
965,다사584077,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
981,다사584093,0,없음,0,4,시도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
993,다사584105,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
999,다사584111,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1004,다사585046,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1044,다사585086,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1052,다사585094,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1065,다사585107,0,없음,0,0,없음,0,0,0.0,0.0,1,10.0,360.0,1500.0,없음,없음,0.0,0,low
1069,다사585111,1,없음,0,0,없음,0,0,0.0,0.0,3,10.0,360.0,600.0,없음,없음,0.0,0,low
1099,다사586070,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1103,다사586074,0,없음,0,16,기타,8,1,4.0,12.75,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1106,다사586077,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1115,다사586086,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1116,다사586087,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1124,다사586095,0,없음,0,15,시도,3,1,5.333333333333333,16.0,3,10.0,360.0,400.0,없음,없음,0.0,0,low
1133,다사586104,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1139,다사586110,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1170,다사587069,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1172,다사587071,0,없음,0,16,시도,2,1,8.0,21.5,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1173,다사587072,0,없음,0,0,없음,1,1,7.0,17.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1188,다사587087,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1218,다사588043,0,없음,0,5,시도,2,4,5.0,4.5,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1219,다사588044,0,없음,0,0,없음,1,4,5.0,12.0,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1220,다사588045,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1244,다사588069,0,없음,0,0,없음,1,1,2.0,8.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1263,다사588088,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1264,다사588089,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1271,다사588096,0,없음,0,2,시도,1,1,4.0,14.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1272,다사588097,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1275,다사588100,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1277,다사588102,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1279,다사588104,0,없음,0,2,기타,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1286,다사588111,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1320,다사589068,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1321,다사589069,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1339,다사589087,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1341,다사589089,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1349,다사589097,0,없음,0,3,시도,2,4,6.0,13.5,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1350,다사589098,0,없음,0,4,시도,2,4,6.0,28.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1362,다사589110,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1376,다사590046,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1382,다사590052,0,없음,0,2,시도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1384,다사590054,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1386,다사590056,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1387,다사590057,0,없음,0,0,없음,0,0,0.0,0.0,1,10.0,360.0,600.0,없음,없음,0.0,0,low
1388,다사590058,0,없음,0,4,시도,2,1,3.5,8.0,5,10.0,360.0,440.0,없음,없음,0.0,0,low
1398,다사590068,0,없음,0,7,지방도,3,4,4.0,18.666666666666668,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1400,다사590070,0,없음,0,17,지방도,5,1,5.6,12.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1418,다사590088,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1425,다사590095,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1426,다사590096,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1427,다사590097,0,없음,0,1,시도,1,4,8.0,52.0,2,10.0,360.0,300.0,없음,없음,0.0,0,low
1428,다사590098,0,없음,0,7,시도,1,4,8.0,23.0,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1449,다사591041,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1455,다사591047,0,없음,0,0,없음,2,1,5.0,6.5,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1467,다사591059,0,없음,0,0,없음,0,0,0.0,0.0,1,10.0,360.0,600.0,없음,없음,0.0,0,low
1468,다사591060,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1478,다사591070,0,없음,0,0,없음,2,1,5.0,10.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1488,다사591080,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1496,다사591088,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1497,다사591089,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1498,다사591090,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1502,다사591094,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1507,다사591099,1,없음,0,17,시도,4,1,6.75,17.75,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1508,다사591100,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1522,다사592036,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1526,다사592040,0,없음,0,0,없음,1,4,2.0,5.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1533,다사592047,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1549,다사592063,0,없음,0,0,없음,2,1,4.0,10.0,1,10.0,360.0,600.0,없음,없음,0.0,0,low
1550,다사592064,0,없음,0,0,없음,0,0,0.0,0.0,1,10.0,360.0,400.0,없음,없음,0.0,0,low
1553,다사592067,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1558,다사592072,0,없음,0,11,시도,1,4,6.0,21.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1559,다사592073,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1562,다사592076,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1563,다사592077,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1565,다사592079,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1566,다사592080,1,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1569,다사592083,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1573,다사592087,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1575,다사592089,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1580,다사592094,1,신호,1,8,시도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1584,다사592098,0,없음,0,1,시도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1585,다사592099,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1586,다사592100,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1587,다사592101,0,없음,0,2,기타,1,1,3.0,7.0,3,10.0,360.0,500.0,없음,없음,0.0,0,low
1595,다사592109,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1605,다사593040,0,없음,0,8,시도,1,4,2.0,5.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1631,다사593066,0,없음,0,0,없음,3,3,6.0,5.666666666666667,1,10.0,360.0,300.0,없음,없음,0.0,0,high
1632,다사593067,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1633,다사593068,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1637,다사593072,0,없음,0,0,없음,1,4,6.0,21.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1638,다사593073,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1645,다사593080,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1647,다사593082,0,속도,1,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1652,다사593087,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1655,다사593090,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1659,다사593094,0,없음,0,3,시도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1661,다사593096,0,없음,0,7,시도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1662,다사593097,1,없음,0,2,기타,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1663,다사593098,1,없음,0,3,기타,3,1,5.333333333333333,12.666666666666666,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1664,다사593099,0,없음,0,6,기타,8,1,5.25,12.625,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1665,다사593100,1,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1673,다사593108,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1685,다사594040,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1692,다사594047,0,없음,0,0,없음,0,0,0.0,0.0,1,10.0,360.0,600.0,없음,없음,0.0,0,low
1694,다사594049,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1711,다사594066,0,없음,0,13,지방도,1,4,7.0,35.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1731,다사594086,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1732,다사594087,0,신호,1,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1734,다사594089,0,없음,0,0,없음,0,0,0.0,0.0,2,10.0,360.0,600.0,없음,없음,0.0,0,low
1735,다사594090,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1737,다사594092,0,없음,0,4,시도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1738,다사594093,0,없음,0,4,시도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1740,다사594095,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1742,다사594097,1,없음,0,1,기타,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1743,다사594098,0,없음,0,28,기타,7,1,6.0,14.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1745,다사594100,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1746,다사594101,0,없음,0,4,시도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1749,다사594104,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1750,다사594105,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1751,다사594106,0,신호,1,2,기타,1,1,4.0,20.0,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1752,다사594107,0,없음,0,4,일반국도,3,1,6.0,19.0,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1771,다사595046,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1772,다사595047,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1775,다사595050,0,없음,0,0,없음,3,1,4.333333333333333,10.333333333333334,1,10.0,360.0,600.0,없음,없음,0.0,0,low
1790,다사595065,0,없음,0,6,지방도,2,4,5.0,19.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1806,다사595081,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1807,다사595082,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1812,다사595087,1,신호,1,0,없음,0,0,0.0,0.0,2,10.0,360.0,2350.0,없음,없음,0.0,0,high
1818,다사595093,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1819,다사595094,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1826,다사595101,0,없음,0,6,시도,1,1,6.0,16.0,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1830,다사595105,0,없음,0,0,없음,1,1,3.0,18.0,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1831,다사595106,0,없음,0,2,일반국도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1845,다사596040,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1853,다사596048,0,없음,0,0,없음,1,1,4.0,11.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1885,다사596080,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1886,다사596081,0,없음,0,0,없음,0,0,0.0,0.0,1,10.0,360.0,2000.0,없음,없음,0.0,0,low
1891,다사596086,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1892,다사596087,1,없음,0,34,기타,13,1,4.615384615384615,11.923076923076923,1,10.0,360.0,600.0,없음,없음,0.0,0,high
1893,다사596088,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1894,다사596089,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1906,다사596101,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1909,다사596104,0,없음,0,0,없음,2,1,3.0,8.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1910,다사596105,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1918,다사597038,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1920,다사597040,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1927,다사597047,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1928,다사597048,0,없음,0,6,국가지원지방도,2,1,4.5,14.0,2,10.0,360.0,650.0,없음,없음,0.0,0,high
1929,다사597049,0,없음,0,0,없음,0,0,0.0,0.0,2,10.0,360.0,650.0,없음,없음,0.0,0,low
1935,다사597055,0,신호,1,7,기타,2,1,3.0,13.5,2,10.0,360.0,900.0,없음,없음,0.0,0,low
